  Number Year     %000
     595 2018   44.630
     573 2017   44.422
     562 2016   43.982
     531 2015   42.242
     496 2014   41.238
     474 2013   41.311
     413 2012   37.990
     320 2011   31.390
     321 2010   34.096
     277 2009   31.591
     223 2008   26.665
     198 2007   25.195
     138 2006   18.426
     105 2005   15.007
      85 2004   13.302
      80 2003   13.469
      62 2002   10.975
      50 2001    9.135
      36 2000    6.763
      29 1999    5.878
      29 1998    6.116
      23 1997    5.044
      14 1996    3.055
      26 1995    5.794
      14 1994    3.198
      11 1993    2.576
       8 1992    1.916
       4 1991    0.969
       0 1990    0.000
       1 1989    0.249
       0 1988    0.000
       1 1987    0.272
       0 1986    0.000
       0 1985    0.000
       0 1984    0.000
       0 1983    0.000
       0 1982    0.000
       0 1981    0.000
       0 1980    0.000
       0 1979    0.000
       0 1978    0.000
       0 1977    0.000
       0 1976    0.000
       0 1975    0.000
       0 1974    0.000
       0 1973    0.000
       0 1972    0.000
       0 1971    0.000
       0 1970    0.000
       0 1969    0.000
       0 1968    0.000
       0 1967    0.000
       0 1966    0.000
       0 1965    0.000
       0 1964    0.000
       0 1963    0.000
       0 1962    0.000
       0 1961    0.000
       0 1960    0.000
       0 1959    0.000
       0 1958    0.000
       0 1957    0.000
       0 1956    0.000
       0 1955    0.000
       0 1954    0.000
       0 1953    0.000
