  Number Year     %000
     254 2018   19.052
     313 2017   24.265
     327 2016   25.591
     309 2015   24.582
     277 2014   23.030
     264 2013   23.009
     240 2012   22.076
     170 2011   16.676
     178 2010   18.907
     161 2009   18.361
     130 2008   15.545
     102 2007   12.979
      77 2006   10.281
      61 2005    8.718
      39 2004    6.103
      39 2003    6.566
      28 2002    4.956
      26 2001    4.750
      17 2000    3.194
      12 1999    2.432
      14 1998    2.952
      12 1997    2.632
       4 1996    0.873
       7 1995    1.560
       5 1994    1.142
       1 1993    0.234
       2 1992    0.479
       1 1991    0.242
       0 1990    0.000
       0 1989    0.000
       0 1988    0.000
       0 1987    0.000
       0 1986    0.000
       0 1985    0.000
       0 1984    0.000
       0 1983    0.000
       0 1982    0.000
       0 1981    0.000
       0 1980    0.000
       0 1979    0.000
       0 1978    0.000
       0 1977    0.000
       0 1976    0.000
       0 1975    0.000
       0 1974    0.000
       0 1973    0.000
       0 1972    0.000
       0 1971    0.000
       0 1970    0.000
       0 1969    0.000
       0 1968    0.000
       0 1967    0.000
       0 1966    0.000
       0 1965    0.000
       0 1964    0.000
       0 1963    0.000
       0 1962    0.000
       0 1961    0.000
       0 1960    0.000
       0 1959    0.000
       0 1958    0.000
       0 1957    0.000
       0 1956    0.000
       0 1955    0.000
       0 1954    0.000
       0 1953    0.000
