  Number Year     %000
       7 2018    0.525
      10 2017    0.775
       8 2016    0.626
      10 2015    0.796
       7 2014    0.582
       7 2013    0.610
       9 2012    0.828
       7 2011    0.687
       3 2010    0.319
       2 2009    0.228
       1 2008    0.120
       5 2007    0.636
       0 2006    0.000
       0 2005    0.000
       0 2004    0.000
       2 2003    0.337
       1 2002    0.177
       0 2001    0.000
       0 2000    0.000
       0 1999    0.000
       0 1998    0.000
       0 1997    0.000
       1 1996    0.218
       0 1995    0.000
       0 1994    0.000
       0 1993    0.000
       0 1992    0.000
       0 1991    0.000
       0 1990    0.000
       0 1989    0.000
       0 1988    0.000
       0 1987    0.000
       0 1986    0.000
       0 1985    0.000
       0 1984    0.000
       0 1983    0.000
       0 1982    0.000
       0 1981    0.000
       0 1980    0.000
       0 1979    0.000
       0 1978    0.000
       0 1977    0.000
       0 1976    0.000
       0 1975    0.000
       0 1974    0.000
       0 1973    0.000
       0 1972    0.000
       0 1971    0.000
       0 1970    0.000
       0 1969    0.000
       0 1968    0.000
       0 1967    0.000
       0 1966    0.000
       0 1965    0.000
       0 1964    0.000
       0 1963    0.000
       0 1962    0.000
       0 1961    0.000
       0 1960    0.000
       0 1959    0.000
       0 1958    0.000
       0 1957    0.000
       0 1956    0.000
       0 1955    0.000
       0 1954    0.000
       0 1953    0.000
